from,to,fromModule,toModule,Distance
eninvtm,ENP,Energy,Energy,-220
IDS,ENP,Economy,Energy,-222
enon,ENP,Energy,Energy,-222
enconv,ENP,Energy,Energy,-208
encartpp,ENPRI,Energy,Energy,0
enpm,ENPRI,Energy,Energy,38
enprixi,ENPRI,Energy,Energy,0
eprohw,ENPRI,Energy,Energy,8
lke,ENPRI,Energy,Energy,18
ZS,ENPRI,Economy,Energy,-105
ENP,ENPRI,Energy,Energy,-101
WEPBYEAR,ENPRI,Energy,Energy,153
dstlen,ENPRI,Energy,Energy,12
eninvtm,ENPRI,Energy,Energy,-119
ENST,ENPRI,Energy,Energy,20
ENSHO,ENPRI,Energy,Energy,20
WENP,ENPRI,Energy,Energy,13
IDS,ENPRI,Economy,Energy,-121
enon,ENPRI,Energy,Energy,-121
WEP,ENPRI,Energy,Energy,153
enprix,ENPRI,Energy,Energy,0
lke,ENPRR,Energy,Energy,0
eninvtm,ENPRR,Energy,Energy,4
IDS,ENPRR,Economy,Energy,5
enon,ENPRR,Energy,Energy,5
CIVDM,ENPRR,Interstate,Energy,2
enconv,ENPRR,Energy,Energy,19
ENP,ENPRR,Energy,Energy,33
QE,ENPRR,Energy,Energy,33
eprodr,ENPRR,Energy,Energy,49
eninvm,ENPRR,Energy,Energy,66
enpcoalmax,ENPRR,Energy,Energy,44
ENDEM,ENPRR,Energy,Energy,40
WGDP,ENPRR,Economy,Energy,87
elenpr,ENPRR,Energy,Energy,88
elenpr2,ENPRR,Energy,Energy,88
eleniprof,ENPRR,Energy,Energy,79
eleniprof2,ENPRR,Energy,Energy,79
dstlen,ENPRR,Energy,Energy,83
ENST,ENPRR,Energy,Energy,146
ENSHO,ENPRR,Energy,Energy,146
EPROFITR,ENPRR,Energy,Energy,81
GDP,ENPRR,Economy,Energy,295
ENDEM,ENRGDP,Energy,Energy,0
GDP,ENRGDP,Economy,Energy,0
igdpr,ENRGDP,Economy,Energy,0
WENP,ENSHO,Energy,Energy,25
ENDEM,ENSHO,Energy,Energy,232
xhw,ENSHO,Economy,Energy,59
ENX,ENSHO,Energy,Energy,59
trademax,ENSHO,Economy,Energy,204
endemm,ENSHO,Energy,Energy,115
enrgdpgr,ENSHO,Energy,Energy,115
ENP,ENSHO,Energy,Energy,209
GDPP,ENSHO,Economy,Energy,142
POPR,ENSHO,Demography,Energy,212
enconv,ENSHO,Energy,Energy,136
WEP,ENSHO,Energy,Energy,118
ENPRI,ENSHO,Energy,Energy,171
elasde,ENSHO,Energy,Energy,117
GDPPC,ENSHO,Economy,Energy,213
igdpr,ENSHO,Economy,Energy,213
WEPBYEAR,ENSHO,Energy,Energy,162
POP,ENSHO,Demography,Energy,141
ENST,ENSHO,Energy,Energy,0
ensolfuelm,ENSOLFUEL,Other,Other,0
ensolfueltrgtyr,ENSOLFUEL,Other,Other,0
ensolfuelsetar,ENSOLFUEL,Other,Other,0
ensolfueltrgtval,ENSOLFUEL,Other,Other,2
ensolfuelseyrtar,ENSOLFUEL,Other,Other,1
INFRAELECACC,ENSOLFUEL,Other,Other,4
POPURBAN,ENSOLFUEL,Demography,Other,4
POP,ENSOLFUEL,Demography,Other,4
GDPPCP,ENSOLFUEL,Economy,Other,642
enxl,ENST,Energy,Energy,0
ENP,ENST,Energy,Energy,4
dstlen,ENST,Energy,Energy,8
ENDEM,ENST,Energy,Energy,202
endemm,ENST,Energy,Energy,85
enrgdpgr,ENST,Energy,Energy,85
GDPP,ENST,Economy,Energy,112
POPR,ENST,Demography,Energy,182
enconv,ENST,Energy,Energy,106
WEP,ENST,Energy,Energy,88
ENPRI,ENST,Energy,Energy,141
elasde,ENST,Energy,Energy,87
GDPPC,ENST,Economy,Energy,183
igdpr,ENST,Economy,Energy,183
WEPBYEAR,ENST,Energy,Energy,132
POP,ENST,Demography,Energy,111
ENX,ENST,Energy,Energy,0
ENM,ENST,Energy,Energy,0
ENPRR,ENST,Energy,Energy,4
envpm2pt5m,ENVPM2PT5,Environment,Environment,0
GDPPCP,ENVPM2PT5,Economy,Environment,1
EDYRSAG25,ENVPM2PT5,Education,Environment,1
GDS,ENVPM2PT5,Sociopolitical,Environment,1
GDP,ENVPM2PT5,Economy,Environment,1
envpm25hldsw,ENVPM2PT5,Environment,Environment,0
envclimsens,ENVPRCHG,Environment,Environment,6
CO2PPM,ENVPRCHG,Environment,Environment,6
envclimsens,ENVTPCHG,Environment,Environment,7
CO2PPM,ENVTPCHG,Environment,Environment,7
envylchgadd,ENVYLCHG,Environment,Other,0
envylchgm,ENVYLCHG,Agriculture,Other,0
envco2fert,ENVYLCHG,Environment,Other,11
CO2PPM,ENVYLCHG,Environment,Other,11
envclimsens,ENVYLCHG,Environment,Other,9
ENM,ENX,Energy,Energy,2
enxl,ENX,Energy,Energy,0
ENDEM,ENX,Energy,Energy,16
ENST,ENX,Energy,Energy,11
ENSHO,ENX,Energy,Energy,11
trademax,ENX,Economy,Energy,129
ENP,ENX,Energy,Energy,23
endemm,ENX,Energy,Energy,40
enrgdpgr,ENX,Energy,Energy,40
GDPP,ENX,Economy,Energy,67
POPR,ENX,Demography,Energy,137
enconv,ENX,Energy,Energy,61
WEP,ENX,Energy,Energy,43
ENPRI,ENX,Energy,Energy,96
elasde,ENX,Energy,Energy,42
GDPPC,ENX,Economy,Energy,138
igdpr,ENX,Economy,Energy,138
WEPBYEAR,ENX,Energy,Energy,87
POP,ENX,Demography,Energy,66
EXRATE,ENX,Economy,Energy,3
XS,ENX,Economy,Energy,0
eprohw,EPROFITR,Energy,Energy,0
ENP,EPROFITR,Energy,Energy,3
lke,EPROFITR,Energy,Energy,4
QE,EPROFITR,Energy,Energy,217
ENPRI,EPROFITR,Energy,Energy,9
enprix,EPROFITR,Energy,Energy,11
GDPPOT,EXRATE,Other,Economy,1
XDEBTRPA,EXRATE,Economy,Economy,3
elerca1,EXRATE,Economy,Economy,10
elerca2,EXRATE,Economy,Economy,9
X,EXRATE,Economy,Economy,9
M,EXRATE,Economy,Economy,9
repayrm,EXRATE,Economy,Economy,4
GDPPCP,EXRATE,Economy,Economy,6
GDS,EXTRASTDRATIO,Sociopolitical,Education,500
GDSED,EXTRASTDRATIO,Sociopolitical,Education,500
EDEXPERTER,EXTRASTDRATIO,Education,Education,501
GDPPC,EXTRASTDRATIO,Economy,Education,501
EDTERTOT,EXTRASTDRATIO,Education,Education,501
EDPRITOT,EXTRASTDRATIO,Education,Education,548
EDEXPERPRI,EXTRASTDRATIO,Education,Education,552
EDSECLOWRTOT,EXTRASTDRATIO,Education,Education,547
EDSECUPPRTOT,EXTRASTDRATIO,Education,Education,546
EDEXPERSECLOWR,EXTRASTDRATIO,Education,Education,551
EDEXPERSECUPPR,EXTRASTDRATIO,Education,Education,550
AGDEM,FDEM,Agriculture,Agriculture,1
FSTOCK,FDEM,Agriculture,Agriculture,3
AGP,FDEM,Agriculture,Agriculture,18
AGX,FDEM,Agriculture,Agriculture,17
AGM,FDEM,Agriculture,Agriculture,17
WAP,FDEM,Agriculture,Agriculture,167
C,FDEM,Economy,Agriculture,10
CS,FDEM,Economy,Agriculture,209
GRAMSPC,FDEM,Agriculture,Agriculture,0
POP,FDEM,Demography,Agriculture,0
INFMOR,FDEM,Demography,Agriculture,1
POPR,FDEM,Demography,Agriculture,1
YTHBULGE,FDEM,Demography,Agriculture,1
MIGRANTS,FDEM,Demography,Agriculture,1
AGDEM,FEDDEM,Agriculture,Agriculture,2
FSTOCK,FEDDEM,Agriculture,Agriculture,4
AGP,FEDDEM,Agriculture,Agriculture,19
AGX,FEDDEM,Agriculture,Agriculture,18
AGM,FEDDEM,Agriculture,Agriculture,18
FDEM,FEDDEM,Agriculture,Agriculture,0
LVHERD,FEDDEM,Agriculture,Agriculture,0
livhdpro,FEDDEM,Agriculture,Agriculture,0
feddemm,FEDDEM,Agriculture,Agriculture,0
GDPPCP,FEDDEM,Economy,Agriculture,1
LD,FEDDEM,Agriculture,Agriculture,2
GLDCAP,FEDDEM,Agriculture,Agriculture,2
WAP,FEDDEM,Agriculture,Agriculture,3
elglinpr,FEDDEM,Other,Agriculture,3
femshrgr,FEMSHRLAB,Economy,Economy,0
labfemshrm,FEMSHRLAB,Demography,Economy,2
FIRMINC,FIRMEARN,Economy,Economy,0
FIRMTAX,FIRMGOVSS,Economy,Economy,2
INDIRECTTAX,FIRMGOVSS,Economy,Economy,2
FIRMINC,FIRMGOVSS,Economy,Economy,2
govrevtrgtval,FIRMGOVSS,Economy,Economy,3
govrevtrgtyr,FIRMGOVSS,Economy,Economy,3
HHTAX,FIRMGOVSS,Economy,Economy,5
HHGOVSS,FIRMGOVSS,Economy,Economy,6
VADD,FIRMGOVSS,Economy,Economy,1054
WP,FIRMGOVSS,Economy,Economy,1054
GDP,FIRMGOVSS,Economy,Economy,1360
SSWELTAXR,FIRMGOVSS,Economy,Economy,0
ssweltaxrm,FIRMGOVSS,Economy,Economy,0
govrevm,FIRMGOVSS,Economy,Economy,0
VADDF,FIRMINC,Economy,Economy,0
FIRMEARN,FIRMINCDIS,Economy,Economy,0
FIRMTAX,FIRMINCDIS,Economy,Economy,0
FIRMGOVSS,FIRMINCDIS,Economy,Economy,0
HHDIVINT,FIRMINCDIS,Economy,Economy,0
XWORKREMIT,FIRMSAV,Economy,Economy,0
FIRMINC,FIRMSAV,Economy,Economy,0
FIRMTAX,FIRMSAV,Economy,Economy,0
INDIRECTTAX,FIRMSAV,Economy,Economy,0
HHDIVINT,FIRMSAV,Economy,Economy,0
FIRMGOVSS,FIRMSAV,Economy,Economy,0
XFDIFOUT,FIRMSAV,Economy,Economy,0
XPORTFOUT,FIRMSAV,Economy,Economy,0
XFDIFIN,FIRMSAV,Economy,Economy,0
XPORTFIN,FIRMSAV,Economy,Economy,0
XWBSUBF,FIRMSAV,Economy,Economy,0
GDPRPA,FIRMSAV,Economy,Economy,1
GDP,FIRMSAV,Economy,Economy,1
FIRMGOVSS,FIRMTAX,Economy,Economy,1
INDIRECTTAX,FIRMTAX,Economy,Economy,1
FIRMINC,FIRMTAX,Economy,Economy,1
govrevtrgtval,FIRMTAX,Economy,Economy,2
govrevtrgtyr,FIRMTAX,Economy,Economy,2
HHTAX,FIRMTAX,Economy,Economy,4
HHGOVSS,FIRMTAX,Economy,Economy,5
VADD,FIRMTAX,Economy,Economy,1053
WP,FIRMTAX,Economy,Economy,1053
GDP,FIRMTAX,Economy,Economy,1359
FIRMTAXR,FIRMTAX,Economy,Economy,0
govrevm,FIRMTAX,Economy,Economy,0
govrevtrgtval,FIRMTAXR,Economy,Economy,10
govrevtrgtyr,FIRMTAXR,Economy,Economy,10
HHTAX,FIRMTAXR,Economy,Economy,12
FIRMTAX,FIRMTAXR,Economy,Economy,12
INDIRECTTAX,FIRMTAXR,Economy,Economy,12
HHGOVSS,FIRMTAXR,Economy,Economy,13
FIRMGOVSS,FIRMTAXR,Economy,Economy,13
VADD,FIRMTAXR,Economy,Economy,1061
WP,FIRMTAXR,Economy,Economy,1061
GDP,FIRMTAXR,Economy,Economy,1367
firmtaxrm,FIRMTAXR,Economy,Economy,0
taxinfadjm,FIRMTAXR,Economy,Economy,2
GDPSHADOWSHR,FIRMTAXR,Economy,Economy,268
gdpshadowon,FIRMTAXR,Interstate,Economy,268
GDPPCP,FIRMTAXR,Economy,Economy,271
AGDEM,FMDEM,Agriculture,Agriculture,3
FSTOCK,FMDEM,Agriculture,Agriculture,5
AGP,FMDEM,Agriculture,Agriculture,20
AGX,FMDEM,Agriculture,Agriculture,19
AGM,FMDEM,Agriculture,Agriculture,19
FDEM,FMDEM,Agriculture,Agriculture,0
X,FORSAV,Economy,Economy,0
M,FORSAV,Economy,Economy,0
AID,FORSAV,Sociopolitical,Economy,0
XFDIFIN,FORSAV,Economy,Economy,2
XFDIFOUT,FORSAV,Economy,Economy,2
XPORTFIN,FORSAV,Economy,Economy,2
XPORTFOUT,FORSAV,Economy,Economy,2
XWBSUBF,FORSAV,Economy,Economy,2
XWORKREMIT,FORSAV,Economy,Economy,2
XWBLNFIN,FORSAV,Economy,Economy,1
XWBLNFOUT,FORSAV,Economy,Economy,1
XIMFCRFIN,FORSAV,Economy,Economy,1
XIMFCRFOUT,FORSAV,Economy,Economy,1
MRPA,FORSAVRPA,Economy,Economy,0
XRPA,FORSAVRPA,Economy,Economy,0
AID,FORSAVRPA,Sociopolitical,Economy,0
WAP,FPRI,Agriculture,Agriculture,0
fprihw,FPRI,Agriculture,Agriculture,1
fpricr2,FPRI,Agriculture,Agriculture,1
LD,FPRI,Agriculture,Agriculture,28
CLD,FPRI,Agriculture,Agriculture,28
KAG,FPRI,Agriculture,Agriculture,28
AGDEM,FPRI,Agriculture,Agriculture,3
AGP,FPRI,Agriculture,Agriculture,3
YL,FPRI,Agriculture,Agriculture,223
dstl,FPRI,Economy,Agriculture,417
AGFISHCATCH,FPRI,Agriculture,Agriculture,427
AQUACUL,FPRI,Agriculture,Agriculture,428
FSTOCK,FPRI,Agriculture,Agriculture,295
LABS,FPRI,Economy,Agriculture,329
ylmaxgr,FPRI,Agriculture,Agriculture,225
aglossprodm,FPRI,Agriculture,Agriculture,429
AGX,FPRI,Agriculture,Agriculture,40
AGM,FPRI,Agriculture,Agriculture,40
aginvm,FPRI,Agriculture,Agriculture,227
tgrld,FPRI,Other,Agriculture,342
GDPPCP,FPRI,Economy,Agriculture,430
MFPRATE,FPRI,Economy,Agriculture,234
CDALF,FPRI,Economy,Agriculture,331
TGRYL,FPRI,Other,Agriculture,235
LVHERD,FPRI,Agriculture,Agriculture,357
elfdpr1,FPRI,Agriculture,Agriculture,256
elfdpr2,FPRI,Agriculture,Agriculture,256
FEDDEM,FPRI,Agriculture,Agriculture,437
GLDCAP,FPRI,Agriculture,Agriculture,358
POP,FPRI,Demography,Agriculture,369
POPR,FPRI,Demography,Agriculture,369
INDEM,FPRI,Agriculture,Agriculture,354
calmeatm,FPRI,Agriculture,Agriculture,345
CLAVAL,FPRI,Agriculture,Agriculture,380
FDEM,FPRI,Agriculture,Agriculture,380
GDP,FPRI,Economy,Agriculture,370
calmax,FPRI,Agriculture,Agriculture,349
lvcf,FPRI,Agriculture,Agriculture,383
meatmax,FPRI,Agriculture,Agriculture,387
igdpr,FPRI,Economy,Agriculture,368
AGP,FPROFITR,Agriculture,Agriculture,2
FPRI,FPROFITR,Agriculture,Agriculture,2
fprihw,FPROFITR,Agriculture,Agriculture,25
WAP,FPROFITR,Agriculture,Agriculture,25
freedomm,FREEDOM,Sociopolitical,Sociopolitical,0
GDPPCP,FREEDOM,Economy,Sociopolitical,3
EDYRSAG15,FREEDOM,Education,Sociopolitical,7
AGDEM,FSTOCK,Agriculture,Agriculture,14
AGP,FSTOCK,Agriculture,Agriculture,16
AGX,FSTOCK,Agriculture,Agriculture,15
AGM,FSTOCK,Agriculture,Agriculture,15
dstl,FSTOCK,Economy,Agriculture,2
HDIMF,GDI,Sociopolitical,Sociopolitical,0
VADD,GDP,Economy,Economy,0
PFD,GDP,Economy,Economy,0
VADD,GDPADJ,Economy,Economy,9
gdprext,GDPADJ,Other,Economy,3
agon,GDPADJ,Agriculture,Economy,7
enon,GDPADJ,Energy,Economy,7
gdpinformshrm,GDPINFORMSHR,Economy,Economy,0
LABINFORMSHR,GDPINFORMSHR,Economy,Economy,0
gdpinformcoeffintercept,GDPINFORMSHR,Infrastructure,Economy,1
gdpinformcoefflabinf,GDPINFORMSHR,Infrastructure,Economy,1
gdpinformcoeffcorrupt,GDPINFORMSHR,Infrastructure,Economy,1
GOVCORRUPT,GDPINFORMSHR,Economy,Economy,1
gdpinformcoeffRanD,GDPINFORMSHR,Infrastructure,Economy,1
RANDDEXP,GDPINFORMSHR,Economy,Economy,1
GDP,GDPP,Economy,Economy,0
PPPCONV,GDPP,Economy,Economy,0
GDP,GDPPC,Economy,Economy,0
POP,GDPPC,Demography,Economy,0
igdpr,GDPPC,Economy,Economy,0
GDPPC,GDPPCP,Economy,Economy,0
PPPCONV,GDPPCP,Economy,Economy,0
GDPP,GDPPCP,Economy,Economy,0
igdpr,GDPPCP,Economy,Economy,0
POP,GDPPCP,Demography,Economy,0
GDPPCP,GDPPCP2005,Economy,Economy,0
GDPPCP,GDPPCPMF,Economy,Economy,0
LABWAGESEXRAT,GDPPCPMF,Economy,Economy,2
FEMSHRLAB,GDPPCPMF,Economy,Economy,2
POP,GDPPCPMF,Demography,Economy,5
VADD,GDPPOT,Economy,Other,0
GDP,GDPPOT,Economy,Other,0
GDP,GDPR,Economy,Economy,0
igdpr,GDPR,Economy,Economy,0
VADD,GDPRPA,Economy,Economy,1
WP,GDPRPA,Economy,Economy,1
GDP,GDPRPA,Economy,Economy,0
gdpshadowshrm,GDPSHADOWSHR,Economy,Economy,0
LABINFORMSHR,GDPSHADOWSHR,Economy,Economy,0
gdpshadowcoeffintercept,GDPSHADOWSHR,Infrastructure,Economy,1
gdpshadowcoefflabinf,GDPSHADOWSHR,Infrastructure,Economy,1
gdpshadowcoeffcorrupt,GDPSHADOWSHR,Infrastructure,Economy,1
GOVCORRUPT,GDPSHADOWSHR,Economy,Economy,1
gdpshadowcoeffRanD,GDPSHADOWSHR,Infrastructure,Economy,1
RANDDEXP,GDPSHADOWSHR,Economy,Economy,1
GOVCON,GDS,Economy,Sociopolitical,0
gdstrgtval,GDS,Other,Sociopolitical,9
GDP,GDS,Economy,Sociopolitical,42
gdstrgtyr,GDS,Other,Sociopolitical,46
gdsm,GDS,Sociopolitical,Sociopolitical,0
gdsbudgetprotec,GDS,Other,Sociopolitical,0
HLCOST,GDS,Other,Sociopolitical,1
igdpr,GDS,Economy,Sociopolitical,3
EDTOTCOST,GDS,Education,Sociopolitical,5
GDPPCP,GDS,Economy,Sociopolitical,254
XWBFLOWS,GDS,Economy,Sociopolitical,270
wpmilthr,GDS,Interstate,Sociopolitical,23
THREAT,GDS,Interstate,Sociopolitical,24
reac,GDS,Interstate,Sociopolitical,24
EDEXPERTER,GDSED,Education,Sociopolitical,8
GDPPC,GDSED,Economy,Sociopolitical,8
EDTERTOT,GDSED,Education,Sociopolitical,8
EDEXPERPRI,GDSED,Education,Sociopolitical,11
EDPRITOT,GDSED,Education,Sociopolitical,11
EDEXPERSECLOWR,GDSED,Education,Sociopolitical,10
EDSECLOWRTOT,GDSED,Education,Sociopolitical,10
EDEXPERSECUPPR,GDSED,Education,Sociopolitical,9
EDSECUPPRTOT,GDSED,Education,Sociopolitical,9
GDS,GDSED,Sociopolitical,Sociopolitical,65
gdsedm,GDSED,Education,Sociopolitical,5
gemm,GEM,Other,Sociopolitical,0
gemsetar,GEM,Other,Sociopolitical,2
gemseyrtar,GEM,Other,Sociopolitical,2
ginidomm,GINIDOM,Other,Sociopolitical,0
ginidomr,GINIDOM,Sociopolitical,Sociopolitical,0
HHINC,GINIDOM,Economy,Sociopolitical,1
HHPOP,GINIDOM,Economy,Sociopolitical,1
POP,GINIDOM,Demography,Sociopolitical,1034
HHPOP,GINIFULL,Economy,Sociopolitical,106
HHINC,GINIFULL,Economy,Sociopolitical,107
POP,GINIFULL,Demography,Sociopolitical,1240
GDPPCP,GINIFULL,Economy,Sociopolitical,3
GINIDOM,GINIFULL,Sociopolitical,Sociopolitical,15
LVHERD,GLDCAP,Agriculture,Agriculture,0
FEDDEM,GLDCAP,Agriculture,Agriculture,0
LD,GLDCAP,Agriculture,Agriculture,0
GDPPCP,GLDCAP,Economy,Agriculture,4
ECONINTEG,GLOBALIZ,Environment,Other,0
PERSCON,GLOBALIZ,Demography,Other,0
INFRANET,GLOBALIZ,Other,Other,3
AID,GLOBALIZ,Sociopolitical,Other,5
GDPPOT,GLOBALIZ,Other,Other,5
WGDP,GLOBALIZ,Economy,Other,265
GOVREV,GOVBAL,Economy,Economy,0
GOVEXP,GOVBAL,Economy,Economy,0
XIMFCRFOUT,GOVBAL,Economy,Economy,0
XWBLNFOUT,GOVBAL,Economy,Economy,0
AID,GOVBAL,Sociopolitical,Economy,0
govbuscostm,GOVBUSCOST,Economy,Economy,0
GDPPCP,GOVBUSCOST,Economy,Economy,1
govbusregindm,GOVBUSREGIND,Economy,Economy,0
GDPPCP,GOVBUSREGIND,Economy,Economy,1
IGCF,GOVCON,Economy,Economy,1
GDPRPA,GOVCON,Economy,Economy,114
elasit,GOVCON,Economy,Economy,114
VADD,GOVCON,Economy,Economy,1288
WP,GOVCON,Economy,Economy,1288
GDP,GOVCON,Economy,Economy,1594
aidrecgovconp,GOVCON,Sociopolitical,Economy,3
AID,GOVCON,Sociopolitical,Economy,5
govconm,GOVCON,Economy,Economy,0
govexpm,GOVCON,Economy,Economy,0
XWBFLOWS,GOVCON,Economy,Economy,0
GOVHHTRNWEL,GOVCON,Economy,Economy,655
wagnerc,GOVCON,Economy,Economy,0
govfinconv,GOVCON,Economy,Economy,0
GDPPCP,GOVCON,Economy,Economy,1
GOVEXP,GOVCON,Economy,Economy,0
GS,GOVCON,Economy,Economy,0
govconswing,GOVCON,Other,Economy,0
GDS,GOVCON,Sociopolitical,Economy,1
govcorruptm,GOVCORRUPT,Economy,Economy,0
SFINTLWARALL,GOVCORRUPT,Sociopolitical,Economy,3
confforsw,GOVCORRUPT,Sociopolitical,Economy,3
goveffconv,GOVCORRUPT,Demography,Economy,2
govcorruptsetar,GOVCORRUPT,Economy,Economy,1
govcorruptseyrtar,GOVCORRUPT,Economy,Economy,1
GEM,GOVCORRUPT,Sociopolitical,Economy,139
YTHBULGE,GOVCORRUPT,Demography,Economy,139
ENX,GOVCORRUPT,Energy,Economy,167
ENPRI,GOVCORRUPT,Energy,Economy,167
GDP,GOVCORRUPT,Economy,Economy,167
GDPPCP,GOVCORRUPT,Economy,Economy,166
DEMOCPOLITY,GOVCORRUPT,Sociopolitical,Economy,166
GDPRPA,GOVDEBT,Economy,Economy,0
AID,GOVDEBT,Sociopolitical,Economy,1
GOVBAL,GOVDEBT,Economy,Economy,2
GDP,GOVDEBT,Economy,Economy,596
goveffectm,GOVEFFECT,Other,Other,0
SFINTLWARALL,GOVEFFECT,Sociopolitical,Other,3
confforsw,GOVEFFECT,Sociopolitical,Other,3
goveffconv,GOVEFFECT,Demography,Other,2
goveffectsetar,GOVEFFECT,Other,Other,1
goveffectseyrtar,GOVEFFECT,Other,Other,1
GEM,GOVEFFECT,Sociopolitical,Other,145
YTHBULGE,GOVEFFECT,Demography,Other,145
ENX,GOVEFFECT,Energy,Other,173
ENPRI,GOVEFFECT,Energy,Other,173
GDP,GOVEFFECT,Economy,Other,173
GDPPCP,GOVEFFECT,Economy,Other,169
DEMOCPOLITY,GOVEFFECT,Sociopolitical,Other,169
GDPPCP,GOVEMBED,Economy,Other,3
GOVEXP,GOVEMBED,Economy,Other,3
GDP,GOVEMBED,Economy,Other,3
POWER,GOVEMBED,Interstate,Other,3
GOVCON,GOVEXP,Economy,Economy,0
GOVHHTRN,GOVEXP,Economy,Economy,0
GDP,GOVHHPENT,Economy,Economy,0
GOVHHTRNPEN,GOVHHPENT,Economy,Economy,0
GOVHHTRN,GOVHHPENT,Economy,Economy,0
GDPPC,GOVHHPENT,Economy,Economy,0
POPRETIRED,GOVHHPENT,Demography,Economy,0
GOVHHPENT,GOVHHTRN,Economy,Economy,0
GOVHHTRNWEL,GOVHHTRN,Economy,Economy,0
VADD,GOVHHTRN,Economy,Economy,1127
WP,GOVHHTRN,Economy,Economy,1127
GDP,GOVHHTRN,Economy,Economy,1433
POP,GOVHHTRN,Demography,Economy,2
POPRETIRED,GOVHHTRN,Demography,Economy,9
GOVHHTRNPEN,GOVHHTRN,Economy,Economy,317
GDPPC,GOVHHTRN,Economy,Economy,197
GDPPCP,GOVHHTRN,Economy,Economy,13
POPWORKING,GOVHHTRN,Demography,Economy,10
labretagem,GOVHHTRN,Demography,Economy,10
AID,GOVHHTRN,Sociopolitical,Economy,6
GOVCON,GOVHHTRN,Economy,Economy,3
aidrecgovconp,GOVHHTRN,Sociopolitical,Economy,4
govexpm,GOVHHTRN,Economy,Economy,0
GDPRPA,GOVHHTRN,Economy,Economy,10
wagnerc,GOVHHTRN,Economy,Economy,0
govfinconv,GOVHHTRN,Economy,Economy,0
GOVEXP,GOVHHTRN,Economy,Economy,0
GOVHHPENT,GOVHHTRNPEN,Economy,Economy,0
HHRETIRENEED,GOVHHTRNPEN,Economy,Economy,8
CRETIRE,GOVHHTRNPEN,Economy,Economy,8
govhhpentndpctuse,GOVHHTRNPEN,Economy,Economy,4
savingsdiscountrt,GOVHHTRNPEN,Other,Economy,6
workageentry,GOVHHTRNPEN,Demography,Economy,6
workageretire,GOVHHTRNPEN,Demography,Economy,6
WORKAGERETIREND,GOVHHTRNPEN,Demography,Economy,7
govhhtrnpenm,GOVHHTRNPEN,Economy,Economy,0
GOVHHTRN,GOVHHTRNPEN,Economy,Economy,6
HHINC,GOVHHTRNPEN,Economy,Economy,3
GDP,GOVHHTRNPEN,Economy,Economy,12
POP,GOVHHTRNPEN,Demography,Economy,10
POPRETIRED,GOVHHTRNPEN,Demography,Economy,17
GOVHHTRNWEL,GOVHHTRNPEN,Economy,Economy,324
GDPPCP,GOVHHTRNPEN,Economy,Economy,21
POPWORKING,GOVHHTRNPEN,Demography,Economy,18
labretagem,GOVHHTRNPEN,Demography,Economy,18
GDPPC,GOVHHTRNPEN,Economy,Economy,205
VADD,GOVHHTRNPEN,Economy,Economy,1134
WP,GOVHHTRNPEN,Economy,Economy,1134
GDP,GOVHHTRNWEL,Economy,Economy,0
govhhtrnwelm,GOVHHTRNWEL,Economy,Economy,0
XWBFLOWS,GOVHHTRNWEL,Economy,Economy,0
GOVHHTRN,GOVHHTRNWEL,Economy,Economy,19
HHINC,GOVHHTRNWEL,Economy,Economy,17
POP,GOVHHTRNWEL,Demography,Economy,24
POPRETIRED,GOVHHTRNWEL,Demography,Economy,31
GOVHHTRNPEN,GOVHHTRNWEL,Economy,Economy,339
GDPPCP,GOVHHTRNWEL,Economy,Economy,35
GOVHHPENT,GOVHHTRNWEL,Economy,Economy,348
POPWORKING,GOVHHTRNWEL,Demography,Economy,32
labretagem,GOVHHTRNWEL,Demography,Economy,32
GDPPC,GOVHHTRNWEL,Economy,Economy,219
VADD,GOVHHTRNWEL,Economy,Economy,1148
WP,GOVHHTRNWEL,Economy,Economy,1148
GOVCORRUPT,GOVINDCAPAC,Economy,Other,0
GOVREV,GOVINDCAPAC,Economy,Other,1
AID,GOVINDCAPAC,Sociopolitical,Other,1
GDP,GOVINDCAPAC,Economy,Other,1
DEMOCPOLITY,GOVINDINCLUS,Sociopolitical,Other,0
GEM,GOVINDINCLUS,Sociopolitical,Other,0
govindsecurm,GOVINDSECUR,Other,Other,0
govindsecurconflict,GOVINDSECUR,Other,Other,4
SFINTLWARALL,GOVINDSECUR,Sociopolitical,Other,4
govindsecurgovrisk,GOVINDSECUR,Other,Other,3
GOVRISK,GOVINDSECUR,Other,Other,3
govindsecurviolence,GOVINDSECUR,Other,Other,2
HOMICIDEINDEX,GOVINDSECUR,Other,Other,2
GOVINDSECUR,GOVINDTOTAL,Other,Other,0
GOVINDCAPAC,GOVINDTOTAL,Other,Other,0
GOVINDINCLUS,GOVINDTOTAL,Other,Other,0
govnucwpadd,GOVNUCWP,Other,Other,0
govregqualm,GOVREGQUAL,Other,Other,0
goveffconv,GOVREGQUAL,Demography,Other,2
govregqualsetar,GOVREGQUAL,Other,Other,1
govregqualseyrtar,GOVREGQUAL,Other,Other,1
SFINTLWARALL,GOVREGQUAL,Sociopolitical,Other,4
confforsw,GOVREGQUAL,Sociopolitical,Other,4
GDPPCP,GOVREGQUAL,Economy,Other,171
DEMOCPOLITY,GOVREGQUAL,Sociopolitical,Other,171
GEM,GOVREGQUAL,Sociopolitical,Other,151
YTHBULGE,GOVREGQUAL,Demography,Other,151
